model,path,month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
K5,US Plant,Jan,,0,0,0,0,0,0,0,0,0,0,0
Sportage,US Plant,Jan,"9,247",0,0,0,0,0,0,0,0,0,0,0
Sorento,US Plant,Jan,"8,300",0,0,0,0,0,0,0,0,0,0,0
Telluride,US Plant,Jan,"10,350",0,0,0,0,0,0,0,0,0,0,0
EV6,US Plant,Jan,103,0,0,0,0,0,0,0,0,0,0,0
EV9,US Plant,Jan,300,0,0,0,0,0,0,0,0,0,0,0
Pegas,China Plants,Jan,"3,638",0,0,0,0,0,0,0,0,0,0,0
Forte,China Plants,Jan,"1,134",0,0,0,0,0,0,0,0,0,0,0
K3,China Plants,Jan,401,0,0,0,0,0,0,0,0,0,0,0
K5,China Plants,Jan,361,0,0,0,0,0,0,0,0,0,0,0
KX1,China Plants,Jan,"1,510",0,0,0,0,0,0,0,0,0,0,0
Sonet,China Plants,Jan,"2,397",0,0,0,0,0,0,0,0,0,0,0
KX3,China Plants,Jan,"3,446",0,0,0,0,0,0,0,0,0,0,0
Zhipao,China Plants,Jan,139,0,0,0,0,0,0,0,0,0,0,0
EV5,China Plants,Jan,699,0,0,0,0,0,0,0,0,0,0,0
KX5,China Plants,Jan,"1,875",0,0,0,0,0,0,0,0,0,0,0
Carnival,China Plants,Jan,99,0,0,0,0,0,0,0,0,0,0,0
C'eed,Slovakia Plant,Jan,"10,261",0,0,0,0,0,0,0,0,0,0,0
C'eed CUV,Slovakia Plant,Jan,"2,194",0,0,0,0,0,0,0,0,0,0,0
Sportage,Slovakia Plant,Jan,"15,245",0,0,0,0,0,0,0,0,0,0,0
Rio(pride),Mexico Plant,Jan,,0,0,0,0,0,0,0,0,0,0,0
K3,Mexico Plant,Jan,"5,207",0,0,0,0,0,0,0,0,0,0,0
K4,Mexico Plant,Jan,"15,456",0,0,0,0,0,0,0,0,0,0,0
Tucson(NX4),Mexico Plant,Jan,"2,000",0,0,0,0,0,0,0,0,0,0,0
Syros,India Plant,Jan,"5,546",0,0,0,0,0,0,0,0,0,0,0
Sonet,India Plant,Jan,"8,259",0,0,0,0,0,0,0,0,0,0,0
Seltos,India Plant,Jan,"6,584",0,0,0,0,0,0,0,0,0,0,0
Carens MPV,India Plant,Jan,"5,797",0,0,0,0,0,0,0,0,0,0,0
Carnival,India Plant,Jan,293,0,0,0,0,0,0,0,0,0,0,0
